SampleClass,AgencyCode,StationNumber,RiverSubBasinCode,StationType,StationNameDescription,StationComment,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCodeDescription,TotalSampleCount,EarliestSample,PriorTo1970,During1970_79,During1980_89,During1990_99,During2000_2009,During2010_2019,TWO_THOUSAND_TWENTIES,MostRecentSampleDate,Inorganics_ions_physicals_nutrients_bacteria,Metals,Pesticides,Organics_No_Pesticides,AGG_ID,Elevation,Slope,LC_1km,LC_5km
A,211,AB05FD0050,05FD,1 (LAKE),CLEAR LAKE (BARNS LAKE) COMPOSITE,,52.76667,-110.60667,0 (WATER),35,09-May-95,0,0,0,6,15,10,4,15-Sep-23,33,2,0,0,4840,655.7735596,0.034940906,8,8
A,211,AB05FD0060,05FD,1 (LAKE),CLEAR LAKE (BARNS LAKE) PROFILE,,52.76667,-110.60667,0 (WATER),845,09-May-95,0,0,0,116,323,291,115,15-Sep-23,839,0,0,0,4840,655.7735596,0.034940906,8,8
A,211,AB05FD0370,05FD,1 (LAKE),ARM LAKE PROFILE,,52.74783,-110.58845,0 (WATER),592,14-Jun-09,0,0,0,0,91,386,115,01-Sep-21,592,1,0,0,4840,663.8603516,1.496856689,8,8
A,211,AB05FD0380,05FD,1 (LAKE),ARM LAKE COMPOSITE,,52.74783,-110.58845,0 (WATER),23,14-Jun-09,0,0,0,0,4,15,4,01-Sep-21,23,0,0,0,4840,663.8603516,1.496856689,8,8
A,211,AB05FD0390,05FD,1 (LAKE),ARM LAKE GRAB,,52.74466,-110.58841,0 (WATER),2,25-Jul-17,0,0,0,0,0,1,1,31-May-21,,,,,4840,663.960022,3.158895254,8,8
A,211,AB05GA0160,05GA,1 (LAKE),DILLBERRY LAKE COMPOSITE,,52.578,-110.00574,0 (WATER),91,10-Jun-84,0,0,18,25,30,14,4,05-Sep-23,89,2,0,0,4840,623.2325439,0.086574852,0,0
A,211,AB05GA0170,05GA,1 (LAKE),DILLBERRY LAKE PROFILE AT GREATEST DEPTH,,52.578,-110.00574,0 (WATER),661,19-Mar-85,0,0,43,95,165,271,87,05-Sep-23,653,1,0,0,4840,623.2325439,0.086574852,0,0
A,211,AB05EB1240,05EB,1 (LAKE),ISLET LAKE COMPOSITE,,53.45639,-112.82583,0 (WATER),20,14-May-92,0,0,0,16,0,0,4,26-Sep-23,18,0,0,0,4841,745.9575806,0.477218062,10,9
A,211,AB05EB1250,05EB,1 (LAKE),ISLET LAKE PROFILE,,53.45639,-112.82583,0 (WATER),28,05-Aug-92,0,0,0,10,0,0,18,26-Sep-23,28,1,0,0,4841,745.9575806,0.477218062,10,9
A,211,AB05ED0025,05ED,0 (RIVER OR STREAM),NORTH SASKATCHEWAN RIVER AT DUVERNAY BRIDGE - TRANSECT,,53.78944,-111.68861,0 (WATER),281,21-Jan-53,150,47,26,8,10,40,0,01-Oct-19,228,23,7,5,4841,535.6313477,0.129263416,12,12
A,211,AB05ED0365,05ED,1 (LAKE),LAC SANTE WHOLE LAKE COMPOSITE,,53.83694,-111.57861,0 (WATER),44,27-May-99,0,0,0,6,19,15,4,11-Sep-20,39,5,0,0,4841,608.9471436,0.045945507,12,12
A,211,AB05ED0370,05ED,1 (LAKE),LAC SANTE SOUTHWEST BASIN PROFILE,Main Site for Whole Comp. Was called PROD SAMPLING SITE #1 - renamed summer '99,53.83694,-111.57861,0 (WATER),1236,23-Feb-76,0,6,0,145,447,500,138,11-Sep-20,1230,0,0,0,4841,608.9471436,0.045945507,12,12
A,211,AB05EE0530,05EE,0 (RIVER OR STREAM),VERMILION RIVER 0.7 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER,"MARCH,87 Description:WEST OF LEA PARK, updated May 27, 2019",53.65127,-110.34401,0 (WATER),53,11-Sep-18,0,0,0,0,0,14,39,19-Oct-23,48,46,0,0,4841,509.3190308,2.055208683,8,12
A,211,AB05EF0075,05EF,0 (RIVER OR STREAM),NORTH SASKATCHEWAN RIVER AT LEA PARK BRIDGE - TRANSECT,,53.66028,-110.33733,0 (WATER),93,07-May-85,0,0,27,11,10,45,0,01-Oct-19,63,22,7,5,4841,501.7404175,0.941526115,8,12
A,211,AB05FA0340,05FA,0 (RIVER OR STREAM),BATTLE RIVER AT NORTH END OF DRIEDMEAT LAKE,,52.93736,-112.84861,0 (WATER),281,30-Jul-74,0,1,13,9,87,111,60,12-Dec-24,269,187,88,10,4841,683.4337158,0.636118114,11,12
A,211,AB05FA0595,05FA,1 (LAKE),DRIEDMEAT LAKE PROFILE,0.5KM SOUTH OF TILLICUM BEACH BOAT LAUNCH,52.87161,-112.75619,0 (WATER),95,11-Jul-07,0,0,0,0,25,38,32,11-Sep-23,88,0,0,0,4841,684.583313,0.096201003,12,12
A,211,AB05FA0596,05FA,1 (LAKE),DRIEDMEAT LAKE COMPOSITE,,52.87161,-112.75619,0 (WATER),11,11-Jul-07,0,0,0,0,3,4,4,11-Sep-23,11,2,0,0,4841,684.583313,0.096201003,12,12
A,211,AB05FA1671,05FA,1 (LAKE),MIQUELON LAKE COMPOSITE,,53.25111,-112.90389,0 (WATER),64,03-Jun-91,0,0,0,22,29,9,4,09-Sep-21,58,2,2,0,4841,764.8898926,0.006400217,10,10
A,211,AB05FA1672,05FA,1 (LAKE),MIQUELON LAKE PROFILE,,53.25111,-112.90389,0 (WATER),128,07-Aug-91,0,0,0,34,52,32,10,09-Sep-21,119,1,0,0,4841,764.8898926,0.006400217,10,10
A,211,AB05FC1060,05FC,1 (LAKE),LITTLE BEAVER LAKE PROFILE,,52.7733,-112.98188,0 (WATER),139,10-Jun-09,0,0,0,0,16,98,25,20-Sep-21,139,1,0,0,4841,746.4124146,0.083293535,12,12
A,211,AB05FC1070,05FC,1 (LAKE),LITTLE BEAVER LAKE COMPOSITE,,52.7733,-112.98188,0 (WATER),32,10-Jun-09,0,0,0,0,4,23,5,20-Sep-21,29,2,0,0,4841,746.4124146,0.083293535,12,12
A,211,AB05AH0020,05AH,0 (RIVER OR STREAM),ROSS CREEK NEAR MOUTH,,50.02756,-110.63783,0 (WATER),153,13-Apr-11,0,0,0,0,0,100,53,16-Oct-24,150,124,15,0,4810,658.3436279,1.809375167,7,8
A,211,AB05AH0050,05AH,0 (RIVER OR STREAM),SEVEN PERSONS CREEK NEAR THE MOUTH,,50.02964,-110.64606,0 (WATER),165,30-Apr-86,0,0,12,0,0,100,53,16-Oct-24,161,126,15,0,4810,658.0493164,0.251512021,13,8
A,211,AB05AH0060,05AH,1 (LAKE),ELKWATER LAKE COMPOSITE,,49.66797,-110.28949,0 (WATER),144,07-May-82,0,0,41,47,38,14,4,20-Sep-23,137,2,0,0,4810,1228.210327,0.003145068,8,8
A,211,AB05AH0070,05AH,1 (LAKE),ELKWATER LAKE PROFILE AT CENTRE,,49.66797,-110.28949,0 (WATER),584,14-Jun-83,0,0,100,82,136,203,63,20-Sep-23,556,2,0,0,4810,1228.210327,0.003145068,8,8
A,211,AB05AJ0060,05AJ,0 (RIVER OR STREAM),SOUTH SASKATCHEWAN RIVER ABOVE MEDICINE HAT,,50.04292,-110.72608,0 (WATER),529,04-May-70,0,71,85,63,128,125,57,25-Sep-24,503,218,129,27,4810,656.0934448,1.23671627,5,8
A,211,AB05AK0990,05AK,0 (RIVER OR STREAM),SOUTH SASKATCHEWAN RIVER BELOW MEDICINE HAT AND ABOVE FERTILIZER PLANT,,50.10475,-110.69114,0 (WATER),141,30-Apr-12,0,0,0,0,0,88,53,16-Oct-24,137,119,15,0,4810,647.6986084,2.392420769,5,5
A,211,AB05BN0010,05BN,0 (RIVER OR STREAM),BOW RIVER NEAR RONALANE BRIDGE,LONG TERM ORGANIC SITE,50.04786,-111.59199,0 (WATER),556,25-Jun-84,0,0,54,197,123,125,57,12-Sep-24,493,302,184,31,4810,700.5982666,2.371221304,7,8
A,211,AB05CG0030,05CG,1 (LAKE),LITTLE FISH LAKE COMPOSITE,,51.36667,-112.23333,0 (WATER),39,06-Jun-83,0,0,17,1,0,5,16,06-Oct-22,30,0,0,0,4810,897.5690308,0.009254796,8,8
A,211,AB05CG0031,05CG,1 (LAKE),LITTLE FISH LAKE GRAB,AT BOAT LAUNCH IN PROVINCIAL PARK,51.36944,-112.19944,0 (WATER),3,07-May-18,0,0,0,0,0,3,0,30-May-19,3,0,0,0,4810,897.6938477,0.519873738,8,8
A,211,AB05CG0032,05CG,0 (RIVER OR STREAM),FISH CREEK AT HIGHWAY 851,,51.39056,-112.20222,0 (WATER),35,07-May-18,0,0,0,0,0,9,26,21-Mar-23,19,0,0,0,4810,905.921875,0.798545301,8,8
A,211,AB05CG0040,05CG,1 (LAKE),LITTLE FISH LAKE PROFILE,,51.36667,-112.23333,0 (WATER),362,06-Jun-83,0,0,96,2,0,54,210,21-Mar-23,298,1,0,0,4810,897.5690308,0.009254796,8,8
A,211,AB05CH0120,05CH,0 (RIVER OR STREAM),BERRY CREEK NEAR MOUTH,,50.84222,-111.60417,0 (WATER),99,13-Apr-83,0,0,1,10,0,45,43,11-Sep-24,83,77,5,0,4810,637.9532471,0.785174131,8,7
A,211,AB05CJ0070,05CJ,0 (RIVER OR STREAM),RED DEER RIVER D/S DINOSAUR PROV PARK AT HWY 884 NEAR JENNER - TRANSECT,,50.83861,-111.17667,0 (WATER),352,31-Aug-82,0,0,19,88,66,122,57,11-Sep-24,336,175,77,7,4810,620.0371094,0.77273196,8,8
A,211,AB11AA0070,11AA,0 (RIVER OR STREAM),MILK RIVER AT HWY 880,,49.14541,-111.30734,0 (WATER),352,26-Mar-86,0,0,28,0,132,131,61,10-Dec-24,347,184,86,3,4810,881.9883423,0.03737447,5,5
A,211,AB05AC0100,05AC,0 (RIVER OR STREAM),LITTLE BOW RIVER AT HWY 533 EAST OF NANTON,,50.3531,-113.54371,0 (WATER),656,12-Feb-82,0,0,10,235,280,92,39,12-Sep-24,640,162,24,9,4820,968.0073242,2.200503826,12,12
A,211,AB05AC0190,05AC,0 (RIVER OR STREAM),LITTLE BOW RIVER AT CARMANGAY,,50.13183,-113.13732,0 (WATER),311,31-Mar-82,0,0,10,65,110,69,57,12-Sep-24,278,184,15,0,4820,900.1089478,0.301615566,12,12
A,211,AB05AC0320,05AC,0 (RIVER OR STREAM),LITTLE BOW RIVER NEAR THE MOUTH,approx 12 miles north of Coaldale on Hwy 845 and 5.2 miles east of Municipal Rd,49.90167,-112.50667,0 (WATER),342,06-Jul-77,0,17,10,55,86,117,57,17-Sep-24,323,120,40,0,4820,769.3374023,0.632007778,8,8
A,211,AB05AD0010,05AD,0 (RIVER OR STREAM),OLDMAN RIVER ABOVE LETHBRIDGE AT HWY 3,LONG TERM ORGANIC SITE,49.7017,-112.86624,0 (WATER),668,17-Mar-87,0,0,45,185,177,204,57,24-Sep-24,559,345,186,9,4820,821.6375732,0.320869893,8,12
A,211,AB05AE0070,05AE,0 (RIVER OR STREAM),ST. MARY RIVER NEAR CONFLUENCE WITH OLDMAN RIVER,,49.58889,-112.88056,0 (WATER),338,11-Dec-74,0,6,19,61,54,141,57,24-Sep-24,319,127,15,0,4820,846.6937256,1.446081042,8,8
A,211,AB05AG0010,05AG,0 (RIVER OR STREAM),OLDMAN RIVER AT HWY 36 BRIDGE NORTH OF TABER,LONG TERM ORGANIC SITE,49.96166,-112.0847,0 (WATER),656,18-Mar-87,0,0,48,165,178,208,57,17-Sep-24,537,343,191,10,4820,730.2318115,6.907430649,5,8
A,211,AB05AG0140,05AG,0 (RIVER OR STREAM),EXPANSE COULEE ADJACENT TO HWY 36 BRIDGE CROSSING OLDMAN RIVER,,49.96502,-112.08198,0 (WATER),198,06-Jul-77,0,18,10,60,40,31,39,17-Sep-24,178,76,29,0,4820,742.4788818,4.60358572,7,8
A,211,AB05BM0010,05BM,0 (RIVER OR STREAM),BOW RIVER BELOW CARSELAND DAM,LONG TERM ORGANIC SITE,50.82575,-113.44211,0 (WATER),602,11-Mar-87,0,0,47,197,136,165,57,05-Sep-24,527,312,192,25,4820,909.9938965,1.647593737,8,12
A,211,AB05BM0575,05BM,0 (RIVER OR STREAM),WEST ARROWWOOD CREEK D/S OF SYPHON,,50.77917,-113.20361,0 (WATER),104,22-Aug-96,0,0,0,2,5,61,36,05-Sep-24,78,43,0,1,4820,885.3132324,0.925302684,8,12
A,211,AB05BM0585,05BM,0 (RIVER OR STREAM),EAST ARROWWOOD CREEK NEAR THE MOUTH,Also known as downstream of syphon.,50.76472,-113.12389,0 (WATER),107,03-Aug-94,0,0,0,4,6,61,36,05-Sep-24,96,60,0,4,4820,850.7938232,2.547780275,8,12
A,211,AB05BM0590,05BM,0 (RIVER OR STREAM),BOW RIVER AT CLUNY,,50.77313,-112.84547,0 (WATER),572,13-Jan-70,0,49,50,166,124,126,57,05-Sep-24,546,207,119,18,4820,812.2988281,1.346238852,8,8
A,211,AB05BM0620,05BM,0 (RIVER OR STREAM),CROWFOOT CREEK ON HWY 1,,50.83456,-112.76286,0 (WATER),396,05-Jul-77,0,18,33,88,163,58,36,05-Sep-24,364,63,127,0,4820,823.2521973,5.082017899,8,12
A,211,AB05BM0770,05BM,1 (LAKE),EAGLE LAKE PROFILE,,51,-113.31667,0 (WATER),215,28-Apr-83,0,0,124,13,35,43,0,29-Jan-18,196,5,0,0,4820,924.1473389,0.034816805,5,12
A,211,AB05BN0065,05BN,0 (RIVER OR STREAM),TWELVE MILE CREEK AT GAUGING STATION (RANGE ROAD 525),,50.14928,-111.66558,0 (WATER),126,05-Jul-77,0,18,33,8,0,31,36,10-Sep-24,96,63,0,0,4820,722.8248901,0.478637516,8,8
A,211,AB05BN0070,05BN,0 (RIVER OR STREAM),COAL CREEK 1/2 MILE WEST OF BOW CITY,,50.43056,-112.22778,0 (WATER),103,29-May-78,0,12,24,0,0,31,36,10-Sep-24,75,61,0,0,4820,743.7490845,1.661196709,8,7
A,211,AB05BN0130,05BN,0 (RIVER OR STREAM),NEW WEST COULEE AT HWY 36 CROSSING,,50.22243,-112.09794,0 (WATER),126,08-Aug-68,1,18,32,8,0,31,36,10-Sep-24,97,65,0,0,4820,735.1934204,0.899481297,5,12
A,211,AB05CD0375,05CD,0 (RIVER OR STREAM),RED DEER RIVER AT MORRIN BRIDGE - TRANSECT,,51.65056,-112.90306,0 (WATER),613,25-Mar-87,0,0,46,209,144,157,57,04-Sep-24,519,310,190,24,4820,690.7446899,1.986792326,7,12
A,211,AB05CE0090,05CE,0 (RIVER OR STREAM),"ROSEBUD RIVER AT ROSEBUD,HWY 840",,51.29828,-112.9471,0 (WATER),49,03-Apr-85,0,0,19,0,0,30,0,05-Sep-18,43,28,0,0,4820,779.9624634,2.70284915,8,12
A,211,AB05CE0100,05CE,0 (RIVER OR STREAM),ROSEBUD RIVER AT HWY 10,,51.41528,-112.62972,0 (WATER),190,31-Aug-82,0,0,34,30,14,69,43,04-Sep-24,179,105,14,0,4820,676.1588135,0.660646439,8,12
A,211,AB05CE0660,05CE,0 (RIVER OR STREAM),THREEHILLS CREEK AT HWY 836,,51.56606,-113.07864,0 (WATER),42,07-Jun-84,0,0,12,0,0,30,0,05-Sep-18,37,28,0,0,4820,759.3725586,4.458485126,12,12
A,211,AB05CE0680,05CE,0 (RIVER OR STREAM),THREEHILLS CREEK NEAR MOUTH AT HWY 837,,51.53266,-112.88884,0 (WATER),130,12-Apr-83,0,0,14,4,0,69,43,04-Sep-24,113,97,0,0,4820,688.8858032,0.83265537,8,12
A,211,AB05CE0685,05CE,0 (RIVER OR STREAM),KNEEHILLS CREEK AT RANGE ROAD 221,,51.46984,-112.97859,0 (WATER),30,12-Apr-16,0,0,0,0,0,30,0,05-Sep-18,24,24,0,0,4820,728.7550049,6.327431202,8,12
A,211,AB05CE0690,05CE,0 (RIVER OR STREAM),KNEEHILLS CREEK NEAR THE MOUTH AT HWY 575,,51.49778,-112.84139,0 (WATER),128,12-Apr-83,0,0,13,3,0,69,43,04-Sep-24,112,99,0,0,4820,688.6226807,0.451401502,8,12
A,211,AB05CE0695,05CE,0 (RIVER OR STREAM),MICHICHI CREEK AT RANGE ROAD 190/191,,51.5268,-112.55719,0 (WATER),29,18-May-16,0,0,0,0,0,29,0,05-Sep-18,14,14,0,0,4820,780.4230347,0.299900502,12,12
A,211,AB05CE0700,05CE,0 (RIVER OR STREAM),MICHICHI CREEK NEAR THE MOUTH,,51.47139,-112.71667,0 (WATER),112,09-Apr-15,0,0,0,0,0,69,43,04-Sep-24,53,53,0,0,4820,678.2585449,0.723603606,12,12
A,211,AB05CJ0030,05CJ,0 (RIVER OR STREAM),MATZHIWIN CREEK AT HWY 36,,50.84167,-111.93056,0 (WATER),79,31-Aug-82,0,0,11,6,0,31,31,11-Sep-24,73,56,0,0,4820,698.5332031,0.413563311,8,8
A,211,AB11AA0100,11AA,0 (RIVER OR STREAM),VERDIGRIS CREEK AT HWY 501,MILK RIVER STUDY,49.15528,-111.83694,0 (WATER),104,29-Apr-86,0,0,16,0,19,31,38,16-Oct-24,21,8,0,0,4820,935.5401001,0.225390211,5,12
A,211,AB11AA0150,11AA,0 (RIVER OR STREAM),MILK RIVER U/S OF TOWN OF MILK RIVER,"5.8 km west of town, across from gravel pit",49.14811,-112.16728,0 (WATER),141,30-Apr-03,0,0,0,0,62,41,38,16-Oct-24,138,71,4,0,4820,1061.836914,2.844055891,8,8
A,211,AB11AA0280,11AA,0 (RIVER OR STREAM),"MILK RIVER NEAR WESTERN BOUNDARY, AT HWY 501",,49.09,-112.39833,0 (WATER),129,28-Jun-06,0,0,0,0,50,41,38,17-Oct-24,100,51,0,0,4820,1109.041992,0.702517629,5,5
A,211,AB11AA0290,11AA,0 (RIVER OR STREAM),RED CREEK NEAR THE MOUTH,,49.06717,-111.92243,0 (WATER),128,28-Jun-06,0,0,0,0,49,41,38,16-Oct-24,72,37,0,0,4820,1005.892273,2.129700661,12,12
A,211,AB11AA0330,11AA,0 (RIVER OR STREAM),MINER'S COULEE SITE B,,49.03472,-111.38797,0 (WATER),118,11-Apr-07,0,0,0,0,39,41,38,16-Oct-24,32,16,0,0,4820,997.367981,2.236922979,8,8
A,211,AB05AA0014,05AA,0 (RIVER OR STREAM),RACEHORSE CREEK U/S CONFLUENCE WITH OLDMAN RIVER,upstream of bridge on Forestry Trunk Road,49.86278,-114.38933,0 (WATER),50,30-Apr-08,0,0,0,0,12,36,2,21-Jun-22,49,49,0,1,4830,1420.210571,7.489188194,8,8
A,211,AB05AA0025,05AA,1 (LAKE),ISLAND LAKE NORTH (CROWSNEST PASS) COMPOSITE,on north side of Hwy 3,49.63011,-114.68514,0 (WATER),8,18-Jun-19,0,0,0,0,0,4,4,20-Sep-22,8,0,0,0,4830,1354.866455,0.280944914,9,5
A,211,AB05AA0026,05AA,1 (LAKE),ISLAND LAKE NORTH (CROWSNEST PASS) PROFILE,on north side of Hwy 3,49.63011,-114.68514,0 (WATER),199,18-Jun-19,0,0,0,0,0,100,99,20-Sep-22,192,8,0,0,4830,1354.866455,0.280944914,9,5
A,211,AB05AA0035,05AA,0 (RIVER OR STREAM),BLAIRMORE CREEK 12KM U/S CONFLUENCE WITH CROWSNEST RIVER,u/s Grassy Mountain,49.71387,-114.46313,0 (WATER),8,02-Jun-21,0,0,0,0,0,0,8,26-Jul-22,8,8,0,4,4830,1650.851929,6.382642269,9,9
A,211,AB05AA0045,05AA,0 (RIVER OR STREAM),BLAIRMORE CREEK 1KM U/S CONFLUENCE WITH CROWSNEST RIVER,d/s Grassy Mountain,49.6192,-114.4574,0 (WATER),8,02-Jun-21,0,0,0,0,0,0,8,25-Jul-22,8,8,0,4,4830,1324.293579,5.353327274,9,9
A,211,AB05AA0054,05AA,0 (RIVER OR STREAM),POND 3A TENT MOUNTAIN MINE,,49.58044,-114.71547,0 (WATER),5,08-Jul-21,0,0,0,0,0,0,5,25-Jul-22,5,5,0,1,4830,1493.94397,6.236887932,9,4
A,211,AB05AA0055,05AA,0 (RIVER OR STREAM),CROWSNEST CREEK 0.5KM U/S CONFLUENCE WITH PTOLEMY CREEK,d/s Tent Mountain,49.6025,-114.6871,0 (WATER),9,03-Jun-21,0,0,0,0,0,0,9,25-Jul-22,8,8,0,5,4830,1465.571655,15.2711935,9,6
A,211,AB05AA0056,05AA,0 (RIVER OR STREAM),PTOLEMY CREEK 0.1KM U/S CONFLUENCE WITH CROWSNEST CREEK,,49.6031,-114.6794,0 (WATER),8,03-Jun-21,0,0,0,0,0,0,8,25-Jul-22,8,8,0,4,4830,1428.285034,5.466311932,9,6
A,211,AB05AA0065,05AA,0 (RIVER OR STREAM),CROWSNEST CREEK 0.2KM D/S HWY 3,,49.62798,-114.66924,0 (WATER),8,03-Jun-21,0,0,0,0,0,0,8,25-Jul-22,8,8,0,4,4830,1358.739014,1.587103844,9,6
A,211,AB05AA0090,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER ABOVE COLEMAN,gps updated so on the river-reflects most historical/current samp locations-2021,49.6319,-114.5469,0 (WATER),101,24-Oct-74,0,42,0,21,17,13,8,25-Jul-22,101,23,1,4,4830,1330.915771,1.026067019,9,9
A,211,AB05AA0105,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER 0.6KM U/S GOLD CREEK AT WSC GAUGE,,49.5968,-114.4106,0 (WATER),8,03-Jun-21,0,0,0,0,0,0,8,25-Jul-22,8,8,0,4,4830,1278.282349,12.94755363,8,8
A,211,AB05AA0110,05AA,0 (RIVER OR STREAM),CROWSNEST RIVER ABOVE BELLEVUE,"gps updated so on the river, reflects historical/current sampling locations-2021",49.57964,-114.37673,0 (WATER),38,14-Sep-78,0,30,0,0,0,0,8,25-Jul-22,38,8,0,4,4830,1259.307983,2.381381989,8,8
A,211,AB05AA0440,05AA,0 (RIVER OR STREAM),PINCHER CREEK AT PINCHER CREEK,,49.48194,-113.96861,0 (WATER),135,13-Feb-82,0,0,9,0,11,58,57,16-Sep-24,132,121,7,0,4830,1164.126099,7.901593208,8,12
A,211,AB05AA0480,05AA,0 (RIVER OR STREAM),PINCHER CREEK AT HWY 3 NEAR THE MOUTH,,49.54628,-113.79454,0 (WATER),215,31-Mar-82,0,0,17,42,5,94,57,16-Sep-24,209,130,11,0,4830,1038.515015,1.410951257,8,8
A,211,AB05AA0490,05AA,1 (LAKE),BEAUVAIS LAKE COMPOSITE,,49.41389,-114.10833,0 (WATER),108,31-May-84,0,0,33,42,20,9,4,15-Sep-20,102,2,2,0,4830,1370.235474,0.004180409,9,8
A,211,AB05AA0500,05AA,1 (LAKE),BEAUVAIS LAKE PROFILE,,49.41389,-114.10833,0 (WATER),499,04-Mar-85,0,0,71,97,95,155,81,15-Sep-20,493,3,0,0,4830,1370.235474,0.004180409,9,8
A,211,AB05AA1055,05AA,1 (LAKE),CHINOOK LAKE COMPOSITE,,49.67236,-114.60342,0 (WATER),4,26-Jun-18,0,0,0,0,0,4,0,25-Sep-18,4,0,0,0,4830,1474.616089,13.42007542,9,9
A,211,AB05AA1056,05AA,1 (LAKE),CHINOOK LAKE PROFILE,,49.67236,-114.60342,0 (WATER),39,26-Jun-18,0,0,0,0,0,39,0,25-Sep-18,35,0,0,0,4830,1474.616089,13.42007542,9,9
A,211,AB05AA1061,05AA,1 (LAKE),CROWSNEST LAKE WHOLE LAKE COMPOSITE,,49.62886,-114.64958,0 (WATER),15,05-Jun-07,0,0,0,0,7,4,4,04-Oct-21,15,4,0,0,4830,1351.212891,0.002670673,7,6
A,211,AB05AA1062,05AA,1 (LAKE),CROWSNEST LAKE WEST BASIN PROFILE,,49.62886,-114.64958,0 (WATER),524,05-Jun-07,0,0,0,0,174,158,192,04-Oct-21,492,8,0,0,4830,1351.212891,0.002670673,7,6
A,211,AB05AA1063,05AA,1 (LAKE),CROWSNEST LAKE EAST BASIN PROFILE,,49.6374,-114.62953,0 (WATER),129,12-May-21,0,0,0,0,0,0,129,04-Oct-21,96,4,0,0,4830,1351.198975,7.057397842,7,7
A,211,AB05AA1066,05AA,1 (LAKE),CROWSNEST LAKE WEST BASIN COMPOSITE,,49.62886,-114.64958,0 (WATER),5,12-May-21,0,0,0,0,0,0,5,04-Oct-21,2,0,0,0,4830,1351.212891,0.002670673,7,6
A,211,AB05AA1067,05AA,1 (LAKE),CROWSNEST LAKE EAST BASIN COMPOSITE,,49.6374,-114.62953,0 (WATER),4,12-May-21,0,0,0,0,0,0,4,04-Oct-21,2,0,0,0,4830,1351.198975,7.057397842,7,7
A,211,AB05AA1072,05AA,1 (LAKE),LEE LAKE PROFILE,,49.5433,-114.253,0 (WATER),111,28-Jun-17,0,0,0,0,0,111,0,01-Feb-18,107,5,0,0,4830,1246.709351,0.957589865,8,8
