StationNumber,Latitude,Longitude,SampleDatetime,RiverSubBasinCode,100923 PH (FIELD) pH units,80558 OXYGEN DISSOLVED (FIELD METER) mg/L,100924 SPECIFIC CONDUCTANCE (FIELD) uS/cm,100925 TEMPERATURE WATER deg C,Year,Month,Elevation,Slope,LC_5km,NDVI,Temperature,Precipitation,RP_count
AB07AG0345,54.01297,-115.84156,2018-04-25 14:00:00,07AG,7.58,11.64,207.0,-0.03,2018,4,728.62854,0.22421129,10.0,0.112,1.1,13.2,0
AB05CC0100,52.08635,-114.12296,2018-04-23 13:15:00,05CC,8.3,8.81,121.2,1.09,2018,4,899.2254028,2.05106473,12.0,0.093,-0.5,20.1,0
AB05CE0695,51.5268,-112.55719,2018-04-25 10:00:00,05CE,7.94,10.11,472.0,6.8,2018,4,780.4230347,0.299900502,12.0,0.05,1.4,3.6,0
AB05CE0700,51.47139,-112.71667,2018-04-25 08:30:00,05CE,7.74,10.1,341.0,8.03,2018,4,678.2585449,0.723603606,12.0,0.05,1.4,3.6,0
AB07AA0007,52.864,-118.10589,2018-04-10 11:50:00,07AA,7.67,12.44,328.0,0.63,2018,4,1040.0,5.445439816,9.0,-0.076,1.5,5.1,0
AB11AA0070,49.14541,-111.30734,2018-04-23 09:20:00,11AA,8.16,10.15,447.0,7.84,2018,4,881.9883423,0.03737447,5.0,0.053,2.1,11.3,0
AB11AA0280,49.09,-112.39833,2018-04-24 09:20:00,11AA,8.3,10.94,309.0,6.07,2018,4,1109.041992,0.702517629,5.0,0.05,2.4,21.7,0
AB11AA0150,49.14811,-112.16728,2018-04-23 12:00:00,11AA,8.19,10.65,306.0,7.3,2018,4,1061.836914,2.844055891,8.0,0.05,2.4,21.7,0
AB11AA0330,49.03472,-111.38797,2018-04-23 10:15:00,11AA,8.13,10.78,583.0,7.05,2018,4,997.367981,2.236922979,8.0,0.05,2.2,16.6,0
AB05AC0160,50.252,-113.55347,2018-04-23 10:10:00,05AC,7.91,10.09,343.0,4.06,2018,4,984.7982788,0.530075252,12.0,0.051,0.2,21.4,5
AB05BN0130,50.22243,-112.09794,2018-04-23 11:10:00,05BN,7.61,10.9,399.0,5.7,2018,4,735.1934204,0.899481297,12.0,0.05,2.0,21.2,0
AB11AA0270,49.02673,-112.96927,2018-04-24 10:20:00,11AA,8.5,12.85,329.0,6.09,2018,4,1255.405762,2.214713573,8.0,0.051,0.4,28.8,0
AB05DF0010,53.36889,-113.75139,2018-04-09 08:30:00,05DF,7.77,11.86,355.4,-0.11,2018,4,629.4031982,5.696750641,10.0,-0.072,0.2,38.7,0
AB05EC0010,53.99092,-112.47592,2018-04-11 10:40:00,05EC,8.18,12.05,371.0,0.12,2018,4,563.9403687,3.655014753,12.0,-0.049,0.0,16.4,0
AB05BH0370,51.04725,-114.01958,2018-04-16 12:35:00,05BH,7.9,11.07,879.0,0.37,2018,4,1039.732056,1.713881373,13.0,-0.016,0.9,21.3,69
AB05AD0010,49.7017,-112.86624,2018-04-25 07:35:00,05AD,8.18,10.15,420.0,9.07,2018,4,821.6375732,0.320869893,12.0,0.05,2.7,29.7,32
AB05AG0010,49.96166,-112.0847,2018-04-25 11:45:00,05AG,8.16,10.01,437.0,10.41,2018,4,730.2318115,6.907430649,8.0,0.05,2.8,17.0,0
AB05AA1595,49.55748,-113.82139,2018-04-24 10:35:00,05AA,8.17,12.29,340.0,3.75,2018,4,1038.801025,0.36166653,8.0,0.051,1.8,23.8,0
AB07HF0010,58.40444,-116.12806,2018-04-11 13:15:00,07HF,7.47,13.02,218.0,-0.15,2018,4,252.863327,0.007821891,12.0,-0.055,-1.1,18.9,0
AB07FD0135,56.09319,-117.56608,2018-04-19 10:30:00,07FD,8.72,12.85,214.0,3.33,2018,4,321.2747498,3.074247122,8.0,-0.006,-1.3,9.2,0
AB07BC0025,54.44931,-113.99236,2018-04-17 12:15:00,07BC,5.93,5.57,544.0,0.02,2018,4,598.786499,0.701555371,12.0,0.03,-0.8,26.9,0
AB05AA0480,49.54628,-113.79454,2018-04-24 11:00:00,05AA,8.27,11.13,427.0,6.97,2018,4,1038.515015,1.410951257,8.0,0.051,1.8,23.8,0
AB05AA0440,49.48194,-113.96861,2018-04-24 09:00:00,05AA,8.28,12.42,382.0,2.54,2018,4,1164.126099,7.901593208,12.0,0.051,1.4,38.9,0
AB05BM0145,50.84501,-113.96185,2018-04-17 11:30:00,05BM,7.98,11.8,1231.0,0.04,2018,4,982.5825806,0.520932436,9.0,-0.016,1.3,47.8,0
AB05CB0070,52.08902,-114.47761,2018-04-23 12:20:00,05CB,7.65,10.43,200.7,1.38,2018,4,965.9175415,0.592109323,12.0,0.093,-0.5,20.1,0
AB11AA0290,49.06717,-111.92243,2018-04-23 11:20:00,11AA,8.06,10.18,782.0,8.94,2018,4,1005.892273,2.129700661,12.0,0.05,2.4,21.7,0
AB05CC0010,52.26722,-113.86361,2018-04-23 10:50:00,05CC,7.84,10.91,122.7,0.24,2018,4,864.8457031,1.969523072,12.0,0.093,0.5,21.9,30
AB05CD0375,51.65056,-112.90306,2018-04-24 12:40:00,05CD,8.0,10.74,151.5,2.91,2018,4,690.7446899,1.986792326,12.0,0.05,-0.4,15.0,0
AB05CD0250,52.30548,-113.07658,2018-04-24 10:00:00,05CD,7.88,10.88,139.7,2.32,2018,4,748.2609253,3.251692772,12.0,0.093,0.3,12.9,21
AB05CA0050,51.79583,-114.635,2018-04-17 12:00:00,05CA,8.08,12.32,444.0,0.41,2018,4,1094.240356,0.29720214,8.0,-0.016,-0.6,22.2,10
AB05CJ0070,50.83861,-111.17667,2018-04-24 10:45:00,05CJ,8.14,8.26,356.0,3.89,2018,4,620.0371094,0.77273196,8.0,0.053,2.3,4.7,0
AB05CE0100,51.41528,-112.62972,2018-04-25 09:30:00,05CE,7.97,9.87,381.0,7.11,2018,4,676.1588135,0.660646439,12.0,0.05,1.4,3.6,0
AB05CE0090,51.29828,-112.9471,2018-04-25 12:00:00,05CE,7.9,8.9,381.0,7.23,2018,4,779.9624634,2.70284915,12.0,0.05,1.3,11.2,0
AB05AH0020,50.02756,-110.63783,2018-04-24 06:50:00,05AH,8.17,10.42,552.0,7.48,2018,4,658.3436279,1.809375167,8.0,0.053,4.8,5.9,0
AB07AH0005,54.2012,-115.7796,2018-04-25 13:00:00,07AH,7.41,12.22,226.0,-0.1,2018,4,734.8890381,0.414509088,10.0,0.112,1.0,16.6,13
AB05AH0050,50.02964,-110.64606,2018-04-24 07:10:00,05AH,8.05,10.52,444.0,7.52,2018,4,658.0493164,0.251512021,8.0,0.053,4.8,5.9,0
AB05BL0470,50.71595,-113.86003,2018-04-17 08:50:00,05BL,8.19,13.19,508.0,0.67,2018,4,1006.582642,0.844795227,12.0,-0.016,1.3,47.8,0
AB05BL1440,50.69683,-114.23583,2018-04-17 08:00:00,05BL,7.94,11.97,401.0,0.01,2018,4,1164.171631,2.187244892,10.0,-0.016,0.0,10.5,0
AB07GJ0010,55.71556,-117.62194,2018-04-12 12:15:00,07GJ,7.26,11.37,485.0,-0.15,2018,4,375.9607239,1.002419353,10.0,-0.055,-0.5,13.3,0
AB05AJ0060,50.04292,-110.72608,2018-04-24 08:20:00,05AJ,7.95,11.48,398.0,3.99,2018,4,656.0934448,1.23671627,8.0,0.053,4.8,5.9,47
AB05AK0990,50.10475,-110.69114,2018-04-24 09:00:00,05AK,7.95,11.32,403.0,4.76,2018,4,647.6986084,2.392420769,5.0,0.053,4.8,5.9,30
AB05AE0070,49.58889,-112.88056,2018-04-25 08:50:00,05AE,8.42,10.64,576.0,9.34,2018,4,846.6937256,1.446081042,8.0,0.05,2.2,23.6,0
AB05CE0660,51.56606,-113.07864,2018-04-24 08:50:00,05CE,7.94,9.02,325.0,7.4,2018,4,759.3725586,4.458485126,12.0,0.05,-0.3,13.4,0
AB05CE0680,51.53266,-112.88884,2018-04-25 11:00:00,05CE,8.02,9.67,341.0,8.26,2018,4,688.8858032,0.83265537,12.0,0.05,1.4,3.6,0
AB05BN0065,50.14928,-111.66558,2018-04-23 12:00:00,05BN,7.53,9.1,276.9,5.12,2018,4,722.8248901,0.478637516,8.0,0.05,2.7,9.0,0
AB11AA0100,49.15528,-111.83694,2018-04-23 08:30:00,11AA,7.53,4.44,83.0,1.47,2018,4,935.5401001,0.225390211,12.0,0.05,2.2,16.6,0
AB05BG0100,51.28283,-114.83731,2018-04-16 10:20:00,05BG,8.21,12.59,336.0,0.0,2018,4,1258.355103,5.491668701,9.0,-0.016,1.4,31.2,0
AB07GE0165,55.13667,-118.30833,2018-04-09 09:30:00,07GE,7.25,11.87,521.3,-0.08,2018,4,487.345459,0.68732971,10.0,-0.055,-1.0,15.5,0
AB07GE0020,55.07194,-118.80472,2018-04-09 12:45:00,07GE,7.22,12.49,418.0,-0.18,2018,4,521.3369751,0.863822103,10.0,-0.055,-1.4,16.4,0
AB05CC0225,52.27096,-113.8022,2018-04-23 10:00:00,05CC,7.61,9.22,235.8,5.77,2018,4,855.1530151,0.258586854,13.0,0.093,0.5,21.9,9
AB05AD0190,49.43028,-113.49583,2018-04-24 12:00:00,05AD,8.25,11.25,380.0,7.95,2018,4,1041.878418,4.099010468,12.0,0.051,2.8,36.4,0
AB05BM0575,50.77917,-113.20361,2018-04-18 11:15:00,05BM,7.92,12.29,336.0,0.05,2018,4,885.3132324,0.925302684,12.0,0.003,0.6,17.5,0
AB05AB0260,49.75255,-113.40351,2018-04-24 12:10:00,05AB,8.09,10.45,324.0,8.46,2018,4,930.1911011,2.844059706,12.0,0.051,2.2,24.6,0
AB07AD0100,53.36883,-117.72562,2018-05-08 08:55:00,07AD,8.03,9.85,275.0,9.19,2018,5,968.2740479,7.371900082,9.0,0.188,11.4,31.2,0
AB07DD0010,58.38278,-111.51778,2018-05-15 08:50:00,07DD,7.72,9.03,171.6,12.93,2018,5,221.0250397,1.331387877,10.0,0.27,10.7,19.6,0
AB07DD0010,58.38278,-111.51778,2018-05-15 08:50:00,07DD,7.72,9.03,171.6,12.93,2018,5,221.0250397,1.331387877,10.0,0.27,11.0,8.4,0
AB07BE0010,54.72222,-113.28611,2018-05-16 13:45:00,07BE,7.87,9.27,240.0,14.69,2018,5,510.3901062,1.253601551,10.0,0.27,14.4,17.5,0
AB07BD0010,54.43222,-114.48333,2018-05-23 10:20:00,07BD,8.16,9.16,234.9,15.4,2018,5,580.3129883,0.200420573,11.0,0.314,13.9,7.2,0
AB07DA0980,57.72361,-111.37917,2018-05-15 08:00:00,07DA,7.77,9.22,203.5,13.22,2018,5,223.291153,0.186179221,6.0,0.27,14.6,10.6,0
AB07CC0030,56.72028,-111.40556,2018-05-16 12:00:00,07CC,8.0,9.78,238.3,15.34,2018,5,240.5357361,2.6102705,10.0,0.27,14.0,4.5,0
AB05FA0060,52.65881,-113.67508,2018-05-14 12:30:00,05FA,8.0,9.16,440.1,16.71,2018,5,804.4741211,0.64455384,12.0,0.267,13.7,25.6,0
AB05FA0340,52.93736,-112.84861,2018-05-14 10:45:00,05FA,7.76,7.78,524.0,14.77,2018,5,683.4337158,0.636118114,12.0,0.165,13.7,41.8,0
AB05CA0045,51.80198,-114.66324,2018-05-14 11:45:00,05CA,8.29,10.99,346.0,14.62,2018,5,1105.551392,0.151217431,8.0,0.222,11.8,37.8,12
AB05AB0100,49.63926,-113.79526,2018-05-15 10:40:00,05AB,8.51,9.74,603.0,16.38,2018,5,1092.840088,1.027666211,8.0,0.222,15.0,37.5,0
AB06AD0130,54.25139,-110.02972,2018-05-15 10:30:00,06AD,7.94,9.07,299.0,15.54,2018,5,491.5502319,0.449382424,8.0,0.27,14.2,19.9,0
AB06AC0100,54.43044,-110.48254,2018-05-15 14:35:00,06AC,8.0,9.54,296.0,16.87,2018,5,505.0038147,1.72106564,11.0,0.27,14.2,19.9,0
AB06AD0060,54.355,-110.21444,2018-05-15 11:30:00,06AD,7.87,9.18,297.0,15.58,2018,5,494.412262,1.154949188,10.0,0.27,14.2,19.9,1
AB05AD0070,49.47882,-113.30135,2018-05-23 11:20:00,05AD,8.31,9.37,224.8,13.9,2018,5,980.2529907,1.081493616,12.0,0.272,14.9,30.6,0
AB05AD0240,49.7275,-113.17806,2018-05-15 13:05:00,05AD,8.3,9.29,280.0,15.27,2018,5,898.3754883,4.490865707,12.0,0.222,14.0,22.4,0
AB07AC0015,54.0121,-116.96656,2018-05-17 11:45:00,07AC,8.03,10.11,324.0,10.11,2018,5,864.2140503,1.843506694,9.0,0.27,11.6,28.1,0
AB05CH0120,50.84222,-111.60417,2018-05-16 12:15:00,05CH,8.12,9.6,779.0,20.38,2018,5,637.9532471,0.785174131,7.0,0.15,16.6,8.5,0
AB05CC0460,52.35664,-113.79567,2018-05-14 09:30:00,05CC,8.02,9.36,400.0,15.17,2018,5,844.72229,0.386448085,12.0,0.267,13.3,25.8,1
AB05BM0590,50.77313,-112.84547,2018-05-09 09:20:00,05BM,8.25,9.34,376.0,12.51,2018,5,812.2988281,1.346238852,8.0,0.125,14.1,8.8,0
AB05BH0010,51.18306,-114.48708,2018-05-07 10:30:00,05BH,8.37,11.41,307.0,6.89,2018,5,1120.670044,1.814611316,8.0,0.158,14.1,35.8,37
AB05BM0010,50.82575,-113.44211,2018-05-09 12:30:00,05BM,8.19,10.09,353.0,11.15,2018,5,909.9938965,1.647593737,12.0,0.125,13.8,20.3,0
AB05BN0010,50.04786,-111.59199,2018-05-07 14:00:00,05BN,8.88,12.53,445.0,18.55,2018,5,700.5982666,2.371221304,8.0,0.125,14.8,26.0,0
AB05BN0070,50.43056,-112.22778,2018-05-07 09:45:00,05BN,7.94,8.68,1458.0,14.34,2018,5,743.7490845,1.661196709,7.0,0.125,16.4,16.0,0
AB05BM0620,50.83456,-112.76286,2018-05-09 08:40:00,05BM,8.11,8.12,1029.0,14.52,2018,5,823.2521973,5.082017899,12.0,0.125,14.1,8.8,0
AB05BM0585,50.76472,-113.12389,2018-05-09 10:25:00,05BM,8.59,11.42,1168.0,11.39,2018,5,850.7938232,2.547780275,12.0,0.125,13.8,20.3,0
AB05BJ0450,51.04483,-114.04194,2018-05-07 13:30:00,05BJ,8.36,11.76,374.0,9.32,2018,5,1040.355713,0.6929245,13.0,0.158,14.0,26.7,69
AB05AG0140,49.96502,-112.08198,2018-05-16 11:05:00,05AG,8.58,10.46,1144.0,20.01,2018,5,742.4788818,4.60358572,8.0,0.148,15.4,25.5,0
AB05CA0015,51.73667,-114.65444,2018-05-14 13:45:00,05CA,8.3,10.02,261.0,13.49,2018,5,1115.195801,0.968437791,8.0,0.222,11.8,37.8,0
AB05BK0070,50.90524,-114.01095,2018-05-08 11:55:00,05BK,8.66,11.45,558.0,13.05,2018,5,996.562561,0.661587059,13.0,0.158,14.2,40.0,0
AB05BG0090,51.28261,-114.83739,2018-05-07 11:50:00,05BG,8.27,10.75,335.0,6.61,2018,5,1258.355103,5.491668701,9.0,0.158,11.9,67.9,0
AB05BL0490,50.78231,-113.82586,2018-05-08 10:40:00,05BL,8.32,10.08,291.0,11.51,2018,5,964.1889648,7.267912865,12.0,0.158,14.2,40.0,0
AB05BL0210,50.60126,-113.85801,2018-05-08 09:50:00,05BL,8.24,10.21,282.0,9.22,2018,5,1030.83728,1.431239724,12.0,0.158,13.3,29.5,11
AB05CA0090,51.92645,-114.68533,2018-05-14 11:00:00,05CA,8.19,9.93,250.0,12.46,2018,5,1073.328979,0.349916279,9.0,0.267,11.8,37.8,0
AB05BH0040,51.18386,-114.49894,2018-05-07 08:50:00,05BH,8.29,10.5,350.0,8.62,2018,5,1126.768921,2.931699038,8.0,0.158,14.1,35.8,37
AB05CE0685,51.46984,-112.97859,2018-05-15 09:00:00,05CE,8.34,9.07,1028.0,15.18,2018,5,728.7550049,6.327431202,12.0,0.148,15.1,19.7,0
AB05CE0690,51.49778,-112.84139,2018-05-15 10:00:00,05CE,8.32,8.65,1053.0,16.65,2018,5,688.6226807,0.451401502,12.0,0.148,15.1,19.7,0
AB07BK0125,55.20667,-114.1225,2018-05-23 13:30:00,07BK,7.8,9.75,152.0,15.55,2018,5,561.3552856,1.418970466,9.0,0.3,11.8,11.3,0
AB07BK0125,55.20667,-114.1225,2018-05-23 13:30:00,07BK,7.8,9.75,152.0,15.55,2018,5,561.3552856,1.418970466,9.0,0.3,11.0,6.2,0
AB05AC0190,50.13183,-113.13732,2018-05-14 10:30:00,05AC,8.4,10.05,455.0,13.99,2018,5,900.1089478,0.301615566,12.0,0.148,13.9,15.2,0
AB05AC0100,50.3531,-113.54371,2018-05-14 08:30:00,05AC,8.24,8.88,469.0,13.22,2018,5,968.0073242,2.200503826,12.0,0.148,13.9,17.4,0
AB05AC0175,50.22533,-113.39758,2018-05-14 09:50:00,05AC,7.89,11.86,419.0,8.79,2018,5,943.9644165,2.929008245,12.0,0.222,13.9,17.4,0
AB05AC0320,49.90167,-112.50667,2018-05-16 10:00:00,05AC,8.39,9.16,435.0,16.93,2018,5,769.3374023,0.632007778,8.0,0.148,14.3,27.2,0
AB05CB0270,52.02799,-114.14036,2018-05-14 12:45:00,05CB,8.32,9.09,391.0,17.15,2018,5,908.1798706,2.444368601,12.0,0.267,14.0,36.9,0
AB05CJ0030,50.84167,-111.93056,2018-05-16 13:15:00,05CJ,8.4,9.66,1002.0,21.59,2018,5,698.5332031,0.413563311,8.0,0.148,15.4,4.5,0
AB07AG0345,54.01297,-115.84156,2018-05-17 15:15:00,07AG,8.28,9.69,287.0,14.24,2018,5,728.62854,0.22421129,10.0,0.27,12.8,24.5,0
AB05CC0100,52.08635,-114.12296,2018-05-14 12:00:00,05CC,8.24,9.09,343.9,16.56,2018,5,899.2254028,2.05106473,12.0,0.267,13.2,33.1,0
AB05CE0695,51.5268,-112.55719,2018-05-16 12:00:00,05CE,8.49,8.77,1211.0,18.11,2018,5,780.4230347,0.299900502,12.0,0.148,15.1,19.7,0
AB05CE0700,51.47139,-112.71667,2018-05-16 09:30:00,05CE,8.51,8.59,1005.0,16.83,2018,5,678.2585449,0.723603606,12.0,0.148,15.1,19.7,0
AB07AA0007,52.864,-118.10589,2018-05-07 15:45:00,07AA,7.4,11.48,130.0,4.26,2018,5,1040.0,5.445439816,9.0,0.158,12.0,9.2,0
AB11AA0070,49.14541,-111.30734,2018-05-03 15:40:00,11AA,8.19,9.04,498.0,16.58,2018,5,881.9883423,0.03737447,5.0,0.079,15.0,35.5,0
AB11AA0070,49.14541,-111.30734,2018-05-22 09:30:00,11AA,8.36,8.72,365.0,16.3,2018,5,881.9883423,0.03737447,5.0,0.168,15.0,35.5,0
AB11AA0280,49.09,-112.39833,2018-05-23 08:45:00,11AA,8.6,8.62,388.0,16.1,2018,5,1109.041992,0.702517629,5.0,0.154,13.9,50.0,0
AB11AA0150,49.14811,-112.16728,2018-05-22 12:30:00,11AA,8.4,8.81,279.0,17.1,2018,5,1061.836914,2.844055891,8.0,0.154,13.9,50.0,0
AB11AA0330,49.03472,-111.38797,2018-05-22 10:30:00,11AA,7.9,5.22,905.0,15.7,2018,5,997.367981,2.236922979,8.0,0.154,14.2,41.0,0
AB05AC0160,50.252,-113.55347,2018-05-14 09:15:00,05AC,8.43,8.79,704.0,14.74,2018,5,984.7982788,0.530075252,12.0,0.222,13.9,17.4,5
AB05BN0130,50.22243,-112.09794,2018-05-07 10:45:00,05BN,8.24,10.38,571.0,17.9,2018,5,735.1934204,0.899481297,12.0,0.125,16.4,16.0,0
AB11AA0270,49.02673,-112.96927,2018-05-23 09:50:00,11AA,8.38,9.92,163.0,11.9,2018,5,1255.405762,2.214713573,8.0,0.272,11.9,32.7,0
AB05DC0050,52.34808,-114.98176,2018-05-01 13:00:00,05DC,8.19,11.16,269.0,6.24,2018,5,964.1829834,3.627049446,9.0,0.127,12.3,36.8,0
AB05DF0010,53.36889,-113.75139,2018-05-07 09:30:00,05DF,7.94,9.78,308.8,11.44,2018,5,629.4031982,5.696750641,10.0,0.192,13.6,37.3,0
